date,week,ws,tce_usd_day,source,note
2023-11-03,2023-44,71.83,51290,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-44.html,
2023-11-10,2023-45,68.04,47145,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-45.html,
2023-11-17,2023-46,74.04,54787,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-46.html,
2023-11-24,2023-47,65.91,43697,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-47.html,
2023-12-01,2023-48,66.5,46000,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-48.html,
2023-12-08,2023-49,66.5,48747,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-49.html,
2023-12-15,2023-50,55.92,35716,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2023/tanker-report-week-50.html,
2024-01-05,2024-1,57.23,27395,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-1.html,
2024-01-12,2024-2,68.5,42134,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-2.html,
2024-01-19,2024-3,66.29,44420,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-3.html,
2024-01-26,2024-4,58.17,34397,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-4.html,
2024-02-02,2024-5,58,33500,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-5.html,
2024-02-09,2024-6,65.91,42806,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-6.html,
2024-02-16,2024-7,89.23,69784,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-7.html,
2024-02-23,2024-8,67.86,44612,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-8.html,
2024-03-01,2024-9,59.95,36270,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-9.html,
2024-03-08,2024-10,71.5,48914,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-10.html,
2024-03-15,2024-11,69.14,49737,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-11.html,
2024-03-22,2024-12,71.5,49319,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-12.html,
2024-04-05,2024-14,65.4,41729,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-14.html,
2024-04-12,2024-15,61.95,38241,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-15.html,
2024-04-19,2024-16,60,36000,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-16.html,
2024-04-26,2024-17,60,35700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-17.html,
2024-05-03,2024-18,65.75,43301,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-18.html,
2024-05-10,2024-19,72,50617,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-19.html,
2024-05-17,2024-20,72.15,51163,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-20.html,
2024-05-24,2024-21,68.48,47578,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-21.html,
2024-05-31,2024-22,57.7,35305,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-22.html,"Baltic typo $35.305 read as $35,305"
